填料类型,填料类别,填料负载量(mg/cm²),比表面积(m²/g),粒径(nm),孔体积(cm³/g),基底材料,隔膜厚度(μm),孔隙率,电解液体系,温度(°C),倍率(C),循环次数,离子电导率(mS/cm),初始比容量(mAh/g),容量保持率(%),库伦效率(%),穿梭因子
氧化石墨烯(GO),碳基,1.665,341.7,4.3,0.6,Celgard 2500(PE),25.2,0.568,砜类(DIPAS) + 1M LiTFSI,25,0.5,300,0.601,1229.4,99.0,95.23,0.02
SnS₂,金属硫化物,1.635,40.9,31.5,0.112,纤维素膜,29.3,0.676,TEGDME + 1M LiTFSI,45,1.0,100,1.109,973.2,99.0,94.85,0.1129
碳黑(Super P),碳基,2.987,54.7,37.4,0.294,尼龙膜,24.0,0.64,TEGDME + 1M LiTFSI,60,2.0,1000,1.081,593.0,86.3,93.4,0.1297
g-C₃N₄,氮化物,0.406,78.4,7.6,0.361,PAN,16.6,0.728,DOL/DME + 0.5M LiTFSI,35,0.2,1000,1.859,1074.4,73.6,92.01,0.2908
PANI(聚苯胺),聚合物,1.049,28.5,71.6,0.146,Celgard 2500(PE),31.6,0.573,DOL/DME + 0.5M LiTFSI,55,1.0,100,2.661,879.8,99.0,92.27,0.2477
SnS₂,金属硫化物,0.935,31.9,37.3,0.107,尼龙膜,16.6,0.626,DOL/DME + 1M LiTFSI + 0.5M LiNO₃,60,0.5,500,1.664,1212.6,91.2,97.35,0.0741
rGO,碳基,1.568,336.8,7.4,0.845,PET,7.2,0.478,DOL/DME + 1M LiTFSI + 0.2M LiNO₃,30,0.2,300,1.484,1364.4,99.0,99.73,0.02
碳黑(Super P),碳基,0.234,59.6,47.5,0.253,PAN,9.3,0.722,TEGDME + 1M LiTFSI,25,0.5,200,0.799,1042.3,91.2,90.59,0.351
MWCNT,碳基,0.802,234.1,36.3,0.546,尼龙膜,25.3,0.626,离子液体(PYR₁₄TFSI) + 0.5M LiTFSI,35,0.1,800,0.491,1346.7,81.7,92.85,0.2619
氮掺杂碳,碳基,0.38,535.5,20.9,0.909,Celgard 2500(PE),16.7,0.553,DOL/DME + 1M LiTFSI,35,1.0,500,1.588,1244.3,90.4,92.53,0.2569
V₂O₅,金属氧化物,0.873,40.7,30.6,0.161,PAN,7.7,0.657,砜类(DIPAS) + 1M LiTFSI,25,0.5,500,0.503,1065.0,90.3,93.76,0.2201
CNT,碳基,2.259,270.0,32.7,0.741,Celgard 2500(PE),24.3,0.534,DOL/DME + 1M LiTFSI + 0.5M LiNO₃,60,2.0,100,1.626,904.2,99.0,98.35,0.02
Al₂O₃,金属氧化物,2.356,141.8,19.7,0.253,Whatman GF/D,674.5,0.821,砜类(DIPAS) + 1M LiTFSI,25,0.1,1000,0.612,839.4,99.0,95.59,0.0472
La₂O₃,金属氧化物,2.624,23.9,37.6,0.103,Celgard 2500(PE),27.9,0.501,DOL/DME + 2M LiTFSI,55,5.0,800,1.192,603.7,99.0,95.06,0.02
多孔碳球,碳基,0.837,731.7,18.3,1.168,GF/A(玻璃纤维),257.0,0.804,TEGDME + 1M LiTFSI + 0.1M LiNO₃,25,3.0,1000,0.947,1227.8,87.6,98.04,0.02
CNT,碳基,2.96,242.7,24.3,0.858,Celgard 2500(PE),27.9,0.464,TEGDME + 1M LiTFSI + 0.1M LiNO₃,25,0.5,300,0.523,622.2,99.0,99.9,0.02
氧化石墨烯(GO),碳基,0.754,364.8,3.6,0.598,PI(聚酰亚胺),23.5,0.485,DOL/DME + 0.5M LiTFSI,30,1.0,100,1.543,1172.2,99.0,93.45,0.152
氮掺杂碳,碳基,2.344,484.6,15.3,1.088,Whatman GF/D,664.8,0.83,砜类(DIPAS) + 1M LiTFSI,55,0.2,800,1.054,1092.6,99.0,95.32,0.02
CeO₂,金属氧化物,2.594,73.6,27.0,0.132,GF/A(玻璃纤维),255.4,0.891,DOL/DME + 2M LiTFSI,25,0.2,500,0.826,697.3,99.0,95.83,0.0549
NiS₂,金属硫化物,0.201,39.7,23.9,0.12,Celgard 2500(PE),22.2,0.448,DOL/DME + 1M LiTFSI + 0.2M LiNO₃,25,2.0,500,1.024,870.8,82.7,96.61,0.1646
NiS₂,金属硫化物,2.704,34.8,49.2,0.14,PAN,19.2,0.661,DOL/DME + 1M LiTFSI + 0.1M LiNO₃,25,0.5,500,1.154,603.6,99.0,99.83,0.02
ZnO,金属氧化物,0.7,35.9,41.1,0.176,Whatman GF/D,662.7,0.789,DOL/DME + 1M LiTFSI + 0.1M LiNO₃,35,1.0,200,1.669,1022.7,96.7,96.66,0.191
NiS₂,金属硫化物,0.45,36.3,25.0,0.143,尼龙膜,27.9,0.646,DOL/DME + 2M LiTFSI,25,2.0,300,0.99,875.5,99.0,93.3,0.2826
CNT,碳基,2.517,291.9,44.2,0.79,尼龙膜,20.6,0.593,DOL/DME + 1M LiTFSI,25,0.2,100,1.28,885.0,99.0,95.26,0.0321
V₂O₅,金属氧化物,0.862,44.0,33.9,0.164,PAN,20.7,0.729,离子液体(PYR₁₄TFSI) + 0.5M LiTFSI,60,0.5,1000,0.724,1089.1,83.2,92.44,0.2193
La₂O₃,金属氧化物,2.95,29.0,54.8,0.1,PVDF,38.6,0.546,DOL/DME + 0.5M LiTFSI,55,5.0,500,2.173,488.7,99.0,94.94,0.0394
TiO₂,金属氧化物,2.272,60.8,27.0,0.169,纤维素膜,28.8,0.673,离子液体(PYR₁₄TFSI) + 0.5M LiTFSI,40,0.5,200,0.498,768.4,99.0,94.67,0.02
CNT,碳基,1.896,297.4,38.6,0.631,Celgard 3501(PP/PE/PP),38.1,0.407,DOL/DME + 1M LiTFSI,25,2.0,800,1.2,954.3,99.0,96.66,0.0505
ZIF-67,MOF/COF,2.512,1551.6,4.6,0.554,尼龙膜,30.3,0.56,DOL/DME + 1M LiTFSI + 0.1M LiNO₃,45,5.0,500,2.491,827.8,99.0,99.9,0.02
Co₃O₄,金属氧化物,0.797,71.5,33.1,0.254,PET,15.7,0.544,DOL/DME + 1M LiTFSI,35,0.2,1000,1.502,1116.0,88.8,93.83,0.1944
碳黑(Super P),碳基,1.86,63.1,28.0,0.213,Celgard 2500(PE),27.9,0.416,砜类(DIPAS) + 1M LiTFSI,25,0.5,200,0.539,1090.0,99.0,93.09,0.1531
石墨烯,碳基,2.775,398.1,9.7,0.913,PVDF,40.4,0.659,DOL/DME + 1M LiTFSI + 0.5M LiNO₃,45,1.0,300,1.636,695.2,99.0,98.93,0.02
ZnO,金属氧化物,0.591,34.9,47.9,0.101,Celgard 2400(PP),28.6,0.365,TEGDME + 1M LiTFSI,35,0.2,200,0.679,1018.5,99.0,91.4,0.2169
ZIF-8,MOF/COF,2.824,1442.5,7.3,0.614,尼龙膜,28.1,0.553,离子液体(PYR₁₄TFSI) + 0.5M LiTFSI,60,0.5,100,0.802,721.8,99.0,95.96,0.02
介孔碳(CMK-3),碳基,0.674,1013.9,9.0,1.644,纤维素膜,35.1,0.65,砜类(DIPAS) + 1M LiTFSI,25,3.0,800,0.641,1326.6,86.8,92.12,0.1173
Co₃O₄,金属氧化物,2.959,64.9,32.7,0.227,Celgard 3501(PP/PE/PP),30.1,0.45,DOL/DME + 2M LiTFSI,35,3.0,1000,0.924,505.4,99.0,95.78,0.02
NiS₂,金属硫化物,1.768,45.2,37.5,0.116,PI(聚酰亚胺),12.0,0.501,TEGDME + 1M LiTFSI + 0.1M LiNO₃,25,3.0,100,0.636,841.8,99.0,99.7,0.02
Co₃O₄,金属氧化物,0.617,78.5,35.0,0.231,纤维素膜,35.7,0.631,砜类(DIPAS) + 1M LiTFSI,25,0.2,1000,0.634,1116.8,83.1,92.1,0.2408
TiO₂,金属氧化物,2.498,41.1,22.3,0.19,尼龙膜,29.2,0.586,TEGDME + 1M LiTFSI,25,0.5,1000,0.481,614.9,89.1,96.56,0.02
MIL-101(Cr),MOF/COF,2.17,3144.0,6.1,1.366,PAN,15.1,0.714,离子液体(PYR₁₄TFSI) + 0.5M LiTFSI,40,0.5,300,1.141,1515.3,99.0,96.88,0.02
CeO₂,金属氧化物,2.793,55.1,17.4,0.192,PET,17.4,0.558,DOL/DME + 1M LiTFSI + 0.1M LiNO₃,25,0.2,1000,1.007,578.4,90.9,99.2,0.02
La₂O₃,金属氧化物,2.899,26.7,43.4,0.112,Celgard 3501(PP/PE/PP),30.2,0.485,DOL/DME + 1M LiTFSI + 0.1M LiNO₃,25,2.0,100,1.033,467.1,99.0,99.9,0.02
MXene(Ti₃C₂),其他,1.924,92.9,11.3,0.314,尼龙膜,22.0,0.567,DOL/DME + 1M LiTFSI + 0.2M LiNO₃,25,0.5,100,1.01,863.5,99.0,99.9,0.02
CNT,碳基,1.918,266.0,40.7,0.741,PVDF-HFP,28.4,0.622,DOL/DME + 1M LiTFSI + 0.2M LiNO₃,25,5.0,500,1.212,904.8,99.0,99.39,0.02
Fe₂O₃,金属氧化物,0.903,45.8,30.6,0.192,PI(聚酰亚胺),24.9,0.552,TEGDME + 1M LiTFSI,25,0.2,500,0.664,993.1,99.0,94.17,0.2161
VS₂,金属硫化物,2.308,45.7,22.0,0.164,纤维素膜,41.6,0.662,DOL/DME + 1M LiTFSI + 0.1M LiNO₃,55,2.0,100,1.877,852.6,99.0,98.78,0.02
CNT,碳基,1.886,275.0,37.8,0.982,PAN,23.3,0.671,DOL/DME + 1M LiTFSI + 0.2M LiNO₃,60,1.0,800,2.257,1259.1,95.8,98.88,0.02
氧化石墨烯(GO),碳基,2.105,370.1,4.5,0.816,Whatman GF/D,666.2,0.827,DOL/DME + 1M LiTFSI + 0.1M LiNO₃,30,3.0,200,1.742,951.6,99.0,99.9,0.02
ZIF-8,MOF/COF,2.453,1502.7,5.7,0.655,Celgard 2400(PP),28.2,0.464,DOL/DME + 1M LiTFSI,45,1.0,100,2.427,1019.8,99.0,95.88,0.02
TiO₂,金属氧化物,2.757,56.8,29.0,0.25,PAN,28.2,0.711,DOL/DME + 1M LiTFSI,25,1.0,100,1.182,595.0,99.0,95.4,0.02
PPy(聚吡咯),聚合物,0.594,30.3,69.7,0.133,PVDF,30.9,0.541,DOL/DME + 1M LiTFSI,30,0.5,500,1.44,888.3,85.5,93.54,0.2341
MWCNT,碳基,0.635,203.9,52.8,0.558,尼龙膜,30.8,0.619,砜类(DIPAS) + 1M LiTFSI,60,1.0,300,0.845,1217.7,99.0,91.94,0.2931
CeO₂,金属氧化物,2.199,54.3,18.5,0.192,PET,13.7,0.506,DOL/DME + 1M LiTFSI + 0.5M LiNO₃,45,0.5,500,1.282,868.0,99.0,99.2,0.02
TiN,氮化物,0.975,76.3,27.8,0.18,GF/A(玻璃纤维),261.7,0.806,离子液体(PYR₁₄TFSI) + 0.5M LiTFSI,50,0.2,500,0.695,1222.9,98.2,93.42,0.1553
V₂O₅,金属氧化物,2.841,47.1,51.4,0.17,Celgard 3501(PP/PE/PP),39.7,0.457,砜类(DIPAS) + 1M LiTFSI,30,0.2,500,0.468,511.8,99.0,93.88,0.02
SiO₂,其他,0.469,203.5,13.4,0.804,PVDF-HFP,34.8,0.588,TEGDME + 1M LiTFSI,25,0.2,500,0.717,1043.0,99.0,92.29,0.2609
碳纳米纤维(CNF),碳基,0.315,172.9,114.4,0.548,PAN,21.9,0.652,DOL/DME + 1M LiTFSI + 0.2M LiNO₃,25,2.0,500,1.199,1003.3,92.6,97.23,0.2239
石墨烯,碳基,0.981,449.6,9.7,0.893,尼龙膜,28.4,0.605,DOL/DME + 1M LiTFSI + 0.1M LiNO₃,50,1.0,1000,1.905,1384.1,84.1,97.04,0.0573
MnO₂,金属氧化物,0.408,101.0,18.8,0.254,Whatman GF/D,674.3,0.829,TEGDME + 1M LiTFSI,30,0.2,500,0.788,1148.9,90.2,93.1,0.363
介孔碳(CMK-3),碳基,2.174,944.4,9.9,1.248,尼龙膜,20.0,0.617,砜类(DIPAS) + 1M LiTFSI,25,0.2,200,0.697,1205.1,99.0,94.09,0.02
V₂O₅,金属氧化物,2.597,44.3,33.0,0.154,Celgard 2500(PE),27.2,0.521,TEGDME + 1M LiTFSI + 0.1M LiNO₃,60,0.2,500,1.087,757.5,99.0,99.9,0.02
Fe₂O₃,金属氧化物,2.155,47.0,28.9,0.146,Celgard 3501(PP/PE/PP),40.3,0.447,DOL/DME + 1M LiTFSI,50,1.0,100,1.73,889.4,99.0,94.51,0.0209
CNT,碳基,1.482,246.7,44.2,0.517,PET,13.2,0.522,DOL/DME + 2M LiTFSI,25,0.1,200,0.784,1229.7,99.0,93.24,0.086
WO₃,金属氧化物,0.299,44.2,38.5,0.117,尼龙膜,23.9,0.54,TEGDME + 1M LiTFSI,55,0.1,800,0.895,1075.3,74.3,91.78,0.3626
Co₃O₄,金属氧化物,0.421,83.2,25.3,0.23,尼龙膜,28.5,0.635,DOL/DME + 2M LiTFSI,40,5.0,500,1.139,865.9,89.9,94.33,0.3148
CNT,碳基,0.161,278.9,35.9,0.755,Whatman GF/D,672.5,0.883,DOL/DME + 2M LiTFSI,45,1.0,200,1.476,1280.2,95.3,92.64,0.3494
NiS₂,金属硫化物,2.499,33.3,43.8,0.155,PET,20.7,0.536,DOL/DME + 1M LiTFSI,55,0.2,100,2.135,827.6,99.0,95.49,0.02
氮掺杂碳,碳基,1.309,538.8,17.6,0.77,PI(聚酰亚胺),21.8,0.648,DOL/DME + 1M LiTFSI + 0.1M LiNO₃,50,1.0,1000,1.86,1444.6,87.6,98.98,0.02
PPy(聚吡咯),聚合物,1.021,40.7,42.2,0.16,Celgard 3501(PP/PE/PP),33.1,0.386,DOL/DME + 0.5M LiTFSI,60,2.0,500,2.321,886.2,99.0,92.96,0.1637
MWCNT,碳基,1.336,196.1,53.0,0.805,PAN,25.3,0.777,DOL/DME + 0.5M LiTFSI,30,0.5,500,2.09,1153.0,97.8,93.98,0.1738
Fe₂O₃,金属氧化物,1.478,45.5,34.3,0.109,GF/A(玻璃纤维),256.5,0.73,TEGDME + 1M LiTFSI + 0.1M LiNO₃,40,0.5,100,1.029,1126.2,99.0,98.87,0.0269
氮掺杂碳,碳基,2.193,467.9,10.6,0.93,Celgard 2400(PP),32.1,0.473,DOL/DME + 1M LiTFSI + 0.5M LiNO₃,25,1.0,500,1.115,947.1,99.0,99.9,0.02
NiS₂,金属硫化物,0.382,39.7,22.7,0.133,Celgard 3501(PP/PE/PP),36.6,0.436,TEGDME + 1M LiTFSI + 0.1M LiNO₃,45,1.0,50,0.802,971.7,95.4,96.89,0.1778
rGO,碳基,2.891,345.7,6.1,0.631,尼龙膜,29.7,0.535,DOL/DME + 1M LiTFSI,25,3.0,200,1.264,575.0,99.0,94.63,0.02
COF-LZU1,MOF/COF,2.943,430.0,7.1,0.383,Celgard 2500(PE),21.9,0.529,DOL/DME + 2M LiTFSI,35,0.2,800,1.149,671.5,99.0,95.71,0.02
CoS₂,金属硫化物,2.425,39.8,29.9,0.153,尼龙膜,39.6,0.611,TEGDME + 1M LiTFSI + 0.1M LiNO₃,25,0.1,200,0.538,810.5,99.0,99.9,0.02
MnO₂,金属氧化物,2.868,75.8,23.2,0.262,PI(聚酰亚胺),13.6,0.529,DOL/DME + 1M LiTFSI + 0.5M LiNO₃,30,0.5,300,0.874,496.4,99.0,99.9,0.02
石墨烯,碳基,0.28,440.7,8.4,0.75,PVDF,23.0,0.65,DOL/DME + 1M LiTFSI,25,0.2,300,1.375,1266.8,91.9,91.65,0.2194
MWCNT,碳基,1.389,194.0,31.3,0.692,尼龙膜,28.1,0.591,砜类(DIPAS) + 1M LiTFSI,25,1.0,50,0.554,1208.3,99.0,94.17,0.1064
V₂O₅,金属氧化物,2.704,36.2,39.1,0.154,尼龙膜,21.1,0.628,TEGDME + 1M LiTFSI + 0.1M LiNO₃,25,0.5,800,0.558,563.8,99.0,99.9,0.02
氧化石墨烯(GO),碳基,2.349,366.8,4.8,0.832,PAN,18.0,0.765,TEGDME + 1M LiTFSI + 0.1M LiNO₃,25,0.2,800,0.726,919.9,99.0,99.9,0.02
石墨烯,碳基,2.281,418.8,10.3,0.812,Whatman GF/D,672.6,0.894,DOL/DME + 1M LiTFSI + 0.1M LiNO₃,60,0.5,800,2.493,1058.7,99.0,98.57,0.02
ZnO,金属氧化物,0.996,33.1,42.6,0.091,尼龙膜,35.1,0.683,DOL/DME + 2M LiTFSI,45,0.5,500,1.25,1145.8,94.3,94.16,0.17
TiN,氮化物,2.5,79.5,27.7,0.232,GF/A(玻璃纤维),260.3,0.818,DOL/DME + 0.5M LiTFSI,25,5.0,200,1.734,543.8,99.0,97.34,0.02
碳黑(Super P),碳基,0.692,66.6,44.8,0.311,尼龙膜,27.1,0.559,离子液体(PYR₁₄TFSI) + 0.5M LiTFSI,60,3.0,100,0.693,1201.8,98.0,91.4,0.3143
碳纳米纤维(CNF),碳基,1.051,127.9,118.0,0.514,Whatman GF/D,668.4,0.799,DOL/DME + 0.5M LiTFSI,35,0.1,100,2.352,1485.9,98.2,93.02,0.2251
石墨烯,碳基,2.431,352.0,7.6,0.825,Celgard 2400(PP),27.7,0.421,DOL/DME + 1M LiTFSI + 0.1M LiNO₃,55,0.2,500,1.593,1033.8,99.0,99.08,0.02
MXene(Ti₃C₂),其他,0.269,100.0,6.5,0.276,PVDF-HFP,26.7,0.663,砜类(DIPAS) + 1M LiTFSI,55,0.1,50,0.97,1047.4,98.0,92.28,0.2989
BN,氮化物,1.852,25.9,40.0,0.121,PVDF,30.3,0.606,DOL/DME + 1M LiTFSI + 0.5M LiNO₃,25,1.0,300,0.943,884.1,99.0,99.43,0.02
Co₃O₄,金属氧化物,2.631,71.5,34.5,0.202,PVDF,34.5,0.518,DOL/DME + 1M LiTFSI + 0.5M LiNO₃,25,1.0,50,0.816,578.1,99.0,99.9,0.02
V₂O₅,金属氧化物,2.231,29.0,29.3,0.174,GF/A(玻璃纤维),256.4,0.794,DOL/DME + 1M LiTFSI,35,0.1,200,1.774,924.7,99.0,96.85,0.02
MIL-101(Cr),MOF/COF,2.899,3346.1,3.6,1.277,Celgard 2500(PE),21.9,0.505,离子液体(PYR₁₄TFSI) + 0.5M LiTFSI,25,0.5,500,0.858,876.6,99.0,95.57,0.02
VS₂,金属硫化物,1.778,60.5,31.7,0.162,GF/A(玻璃纤维),268.4,0.847,DOL/DME + 1M LiTFSI + 0.5M LiNO₃,45,0.5,300,1.544,1094.3,99.0,99.9,0.02
NiS₂,金属硫化物,2.732,29.8,37.2,0.115,尼龙膜,23.0,0.647,DOL/DME + 0.5M LiTFSI,25,2.0,200,1.461,506.2,99.0,96.19,0.02
介孔碳(CMK-3),碳基,2.127,955.0,10.1,1.338,PAN,28.1,0.707,DOL/DME + 0.5M LiTFSI,25,0.5,100,2.645,1128.0,99.0,95.46,0.02
Fe₂O₃,金属氧化物,2.584,52.9,45.2,0.135,纤维素膜,41.2,0.723,DOL/DME + 1M LiTFSI + 0.2M LiNO₃,55,0.5,200,1.65,653.4,99.0,99.9,0.02
Fe₂O₃,金属氧化物,2.559,45.8,48.3,0.124,PAN,29.7,0.749,TEGDME + 1M LiTFSI,60,0.5,1000,1.07,711.8,93.3,93.08,0.02
ZIF-8,MOF/COF,0.952,1614.2,7.3,0.713,尼龙膜,23.2,0.643,TEGDME + 1M LiTFSI + 0.1M LiNO₃,25,0.1,500,0.894,1531.5,99.0,98.53,0.02
ZnO,金属氧化物,1.617,37.4,48.8,0.095,Celgard 2400(PP),29.8,0.48,DOL/DME + 1M LiTFSI,45,0.5,1000,1.507,983.9,92.2,95.54,0.02
CeO₂,金属氧化物,2.325,70.5,18.2,0.209,纤维素膜,36.4,0.648,DOL/DME + 1M LiTFSI + 0.5M LiNO₃,55,1.0,300,1.347,768.7,99.0,99.9,0.02
BN,氮化物,1.883,32.3,56.3,0.081,Celgard 2400(PP),17.5,0.373,DOL/DME + 2M LiTFSI,25,2.0,1000,0.725,865.1,90.0,95.89,0.02
多孔碳球,碳基,2.116,706.3,19.3,1.22,Celgard 3501(PP/PE/PP),42.2,0.42,砜类(DIPAS) + 1M LiTFSI,55,5.0,100,1.0,1063.1,99.0,95.09,0.02
CNT,碳基,2.08,275.3,39.3,0.732,Celgard 2500(PE),19.5,0.524,砜类(DIPAS) + 1M LiTFSI,25,1.0,800,0.575,949.1,98.5,94.75,0.0384
BN,氮化物,2.833,39.1,52.3,0.093,尼龙膜,26.7,0.599,砜类(DIPAS) + 1M LiTFSI,25,0.2,1000,0.471,537.8,90.3,96.77,0.02
石墨烯,碳基,0.222,412.1,8.0,0.776,尼龙膜,17.4,0.528,DOL/DME + 1M LiTFSI,25,1.0,500,1.217,1024.6,89.3,93.7,0.2846
CeO₂,金属氧化物,1.798,68.1,17.0,0.203,Whatman GF/D,672.3,0.841,离子液体(PYR₁₄TFSI) + 0.5M LiTFSI,60,2.0,1000,0.711,977.8,93.7,93.89,0.0794
氧化石墨烯(GO),碳基,1.575,386.6,4.6,0.79,GF/A(玻璃纤维),260.8,0.805,TEGDME + 1M LiTFSI,50,0.2,1000,1.231,1392.8,93.8,94.61,0.02
介孔碳(CMK-3),碳基,2.739,1047.7,18.2,1.486,Celgard 2500(PE),30.9,0.677,DOL/DME + 2M LiTFSI,25,2.0,100,1.115,791.0,99.0,94.84,0.02
多孔碳球,碳基,0.756,799.8,17.7,1.144,Celgard 3501(PP/PE/PP),48.3,0.507,DOL/DME + 1M LiTFSI,55,0.5,200,2.114,1476.4,99.0,93.64,0.182
WS₂,金属硫化物,2.586,31.9,28.2,0.138,GF/A(玻璃纤维),251.9,0.786,TEGDME + 1M LiTFSI,60,0.2,500,1.253,783.4,99.0,94.28,0.02
Co₃O₄,金属氧化物,1.258,76.2,32.0,0.163,Celgard 2400(PP),31.7,0.535,DOL/DME + 1M LiTFSI + 0.5M LiNO₃,25,5.0,800,1.001,922.7,96.8,99.35,0.02
氮掺杂碳,碳基,1.423,520.7,12.3,1.021,PVDF-HFP,29.6,0.646,DOL/DME + 1M LiTFSI + 0.2M LiNO₃,45,0.2,200,1.661,1447.2,99.0,98.53,0.02
Co₃O₄,金属氧化物,1.854,85.4,30.9,0.207,PAN,18.3,0.695,砜类(DIPAS) + 1M LiTFSI,25,1.0,1000,0.587,799.2,97.5,97.59,0.02
TiN,氮化物,1.33,65.7,17.4,0.226,尼龙膜,27.0,0.64,砜类(DIPAS) + 1M LiTFSI,55,0.1,100,0.859,1265.6,99.0,92.65,0.0747
SiO₂,其他,1.361,181.6,13.2,0.513,尼龙膜,18.9,0.51,TEGDME + 1M LiTFSI,35,3.0,200,0.827,883.8,99.0,93.86,0.1485
氧化石墨烯(GO),碳基,1.606,390.1,5.3,0.493,Whatman GF/D,673.4,0.853,DOL/DME + 1M LiTFSI,25,2.0,50,1.764,1075.0,99.0,96.62,0.02
氧化石墨烯(GO),碳基,1.152,360.8,5.2,0.791,Whatman GF/D,665.1,0.726,DOL/DME + 1M LiTFSI + 0.5M LiNO₃,35,3.0,50,1.396,1126.9,99.0,99.18,0.02
CeO₂,金属氧化物,0.776,53.3,28.2,0.188,PET,18.9,0.471,砜类(DIPAS) + 1M LiTFSI,60,5.0,800,0.804,985.3,85.6,92.35,0.2351
ZnO,金属氧化物,1.392,43.3,47.4,0.117,GF/A(玻璃纤维),262.2,0.8,DOL/DME + 1M LiTFSI + 0.2M LiNO₃,35,3.0,800,1.442,939.5,94.2,99.9,0.02
TpPa-COF,MOF/COF,1.151,696.0,5.7,0.466,Celgard 2400(PP),32.2,0.421,DOL/DME + 0.5M LiTFSI,55,0.1,500,2.645,1439.7,99.0,93.97,0.02
VS₂,金属硫化物,2.345,51.8,34.5,0.125,PAN,26.0,0.765,DOL/DME + 0.5M LiTFSI,35,5.0,100,1.816,658.5,99.0,95.59,0.02
V₂O₅,金属氧化物,1.564,27.4,34.6,0.106,PVDF-HFP,23.5,0.554,DOL/DME + 1M LiTFSI + 0.5M LiNO₃,30,0.2,200,1.099,985.9,99.0,99.75,0.02
CeO₂,金属氧化物,1.977,66.3,13.8,0.252,PVDF,31.0,0.551,离子液体(PYR₁₄TFSI) + 0.5M LiTFSI,35,3.0,50,0.448,820.6,99.0,95.4,0.02
氧化石墨烯(GO),碳基,0.272,393.0,4.1,0.833,尼龙膜,20.1,0.539,离子液体(PYR₁₄TFSI) + 0.5M LiTFSI,35,0.5,200,0.457,1223.6,99.0,92.46,0.335
石墨烯,碳基,1.244,386.8,6.7,0.561,PI(聚酰亚胺),18.2,0.539,DOL/DME + 1M LiTFSI + 0.2M LiNO₃,25,0.5,50,1.3,1259.2,99.0,97.79,0.02
TiO₂,金属氧化物,1.517,53.6,30.3,0.156,纤维素膜,33.1,0.671,DOL/DME + 1M LiTFSI,25,0.2,50,1.039,1060.0,99.0,94.4,0.0588
碳黑(Super P),碳基,1.536,62.8,19.4,0.226,PVDF-HFP,31.4,0.594,DOL/DME + 2M LiTFSI,60,0.1,50,1.668,1290.6,99.0,92.88,0.1998
ZIF-67,MOF/COF,1.67,1683.9,4.6,0.824,Celgard 2500(PE),20.3,0.566,DOL/DME + 1M LiTFSI + 0.5M LiNO₃,25,0.2,100,1.722,1500.1,99.0,98.99,0.02
石墨烯,碳基,0.713,475.8,8.0,0.974,Celgard 3501(PP/PE/PP),38.4,0.395,砜类(DIPAS) + 1M LiTFSI,55,2.0,800,0.712,1343.5,90.0,93.85,0.1583
PPy(聚吡咯),聚合物,0.795,42.9,82.0,0.137,Celgard 2400(PP),28.0,0.388,砜类(DIPAS) + 1M LiTFSI,35,2.0,50,0.658,753.9,99.0,94.57,0.2054
CNT,碳基,2.176,283.4,35.0,0.827,PVDF-HFP,17.2,0.672,DOL/DME + 2M LiTFSI,30,5.0,200,1.029,861.5,99.0,96.22,0.073
TiS₂,金属硫化物,1.18,37.7,28.7,0.1,Whatman GF/D,680.6,0.856,砜类(DIPAS) + 1M LiTFSI,50,0.2,1000,0.932,1137.7,88.2,94.34,0.1838
多孔碳球,碳基,0.604,660.1,24.6,0.99,纤维素膜,29.9,0.608,DOL/DME + 2M LiTFSI,30,0.1,200,1.063,1469.3,99.0,92.92,0.2423
rGO,碳基,1.565,363.7,6.4,0.886,Celgard 3501(PP/PE/PP),34.3,0.446,DOL/DME + 1M LiTFSI,25,1.0,100,1.521,1247.4,99.0,93.98,0.02
ZIF-8,MOF/COF,0.404,1737.6,4.8,0.666,Celgard 2400(PP),29.7,0.435,DOL/DME + 2M LiTFSI,30,0.5,800,1.133,1336.6,92.5,93.83,0.1097
Co₃O₄,金属氧化物,0.868,82.4,33.7,0.208,纤维素膜,39.3,0.697,TEGDME + 1M LiTFSI + 0.1M LiNO₃,50,5.0,100,1.151,1096.0,99.0,97.99,0.1143
CoS₂,金属硫化物,0.326,49.6,35.0,0.125,PET,12.5,0.483,DOL/DME + 1M LiTFSI + 0.2M LiNO₃,30,5.0,50,1.198,842.2,99.0,96.57,0.2048
氮掺杂碳,碳基,2.265,419.9,19.0,1.109,Celgard 2400(PP),26.6,0.471,TEGDME + 1M LiTFSI,35,1.0,300,0.851,982.6,99.0,96.45,0.02
rGO,碳基,1.252,362.4,6.1,0.767,Celgard 3501(PP/PE/PP),31.9,0.434,DOL/DME + 1M LiTFSI + 0.1M LiNO₃,50,0.5,200,2.063,1356.9,99.0,98.93,0.02
WO₃,金属氧化物,2.013,39.0,27.3,0.14,尼龙膜,21.4,0.603,DOL/DME + 1M LiTFSI + 0.2M LiNO₃,55,0.2,800,1.464,1058.4,99.0,99.43,0.02
WO₃,金属氧化物,2.651,37.4,32.9,0.115,PAN,23.1,0.777,砜类(DIPAS) + 1M LiTFSI,55,1.0,50,0.787,677.3,99.0,95.45,0.0478
TiO₂,金属氧化物,0.784,44.5,18.8,0.181,PAN,22.1,0.558,TEGDME + 1M LiTFSI + 0.1M LiNO₃,50,0.5,800,1.029,1023.8,90.2,96.86,0.0448
