填料类型,填料类别,填料含量(wt%),比表面积(m²/g),粒径(nm),基底/聚合物,膜厚度(μm),温度(°C),压力(MPa),倍率(C),循环次数,离子电导率(mS/cm),界面阻抗(Ω·cm²),初始比容量(mAh/g),容量保持率(%),库伦效率(%),电化学窗口(V)
Li₃InCl₆,卤化物,12.0,9.5,560.1,PVDF,29.9,30,260.1,0.1,500,0.01017,63.1,621.2,92.2,97.0,3.79
LLZO-Nb,氧化物,30.4,16.1,473.7,PEO(聚环氧乙烷),57.0,25,282.2,0.1,300,0.09268,89.8,682.2,92.3,98.17,5.09
Na₃PS₄(参考),硫化物,40.5,17.4,472.5,PVA(聚乙烯醇),34.6,30,303.6,0.2,300,0.15346,51.3,634.4,91.9,97.23,2.22
LISICON(Li₂+2xZn₁-xGeO₄),磷酸盐,52.7,14.4,289.8,PMMA(聚甲基丙烯酸甲酯),59.2,30,253.6,0.2,800,0.03663,73.7,624.8,88.4,98.39,5.47
Na₃PS₄(参考),硫化物,39.1,15.7,501.7,PEG(聚乙二醇),46.1,60,195.1,0.5,200,0.24886,56.2,718.2,96.5,96.23,2.29
Li₉.₅₄Si₁.₇₄P₁.₄₄S₁₁.₇Cl₀.₃,硫化物,38.1,3.9,844.0,PVDF-HFP,42.7,30,254.7,0.2,200,5.95571,57.4,860.5,93.6,96.78,2.72
Li₁.₄Al₀.₄Ti₁.₆(PO₄)₃,氧化物,33.8,19.0,315.5,PAN(聚丙烯腈),38.8,50,121.6,0.1,500,0.1101,78.0,824.6,89.5,96.65,4.73
Li₃PS₄,硫化物,69.5,11.9,640.0,PI(聚酰亚胺),16.4,25,61.9,0.5,50,0.39945,113.5,618.4,98.0,97.68,2.32
Li₆PS₅Br,硫化物,40.5,9.4,863.8,纤维素基,53.8,55,318.9,0.1,200,1.03784,67.9,937.2,88.3,97.14,2.81
LLZO@GO复合,复合,75.1,155.1,45.0,PVDF-HFP,19.9,60,353.4,1.0,800,0.9332,42.2,804.7,81.5,97.24,4.42
LISICON(Li₂+2xZn₁-xGeO₄),磷酸盐,32.0,25.2,249.4,PVDF-HFP,41.0,50,261.0,0.05,100,0.06229,57.2,821.5,98.0,97.45,5.77
Li₇P₃S₁₁,硫化物,72.4,5.3,976.1,PEO(聚环氧乙烷),53.4,25,281.8,0.2,50,1.67238,103.9,639.7,97.4,97.15,2.47
Li₆PS₅Cl,硫化物,69.1,7.9,840.4,尼龙6,40.8,60,361.8,0.5,100,4.46055,63.3,834.1,98.0,96.95,2.59
Na₃PS₄(参考),硫化物,45.0,13.5,529.8,纤维素基,58.4,40,113.6,1.0,500,0.17396,77.4,573.7,93.1,97.4,2.55
Li₂S-P₂S₅(75:25),硫化物,45.1,12.2,536.3,PVDF-HFP,38.1,50,397.9,0.1,100,1.09002,44.0,794.2,98.0,97.67,2.81
LATP(Li₁.₃Al₀.₃Ti₁.₇(PO₄)₃),氧化物,57.3,20.6,273.4,PEO(聚环氧乙烷),52.1,40,213.9,0.1,100,0.19731,101.1,728.1,98.0,96.83,5.17
LiPON,磷酸盐,48.4,36.1,107.9,PEG(聚乙二醇),40.8,25,331.1,0.2,50,0.01135,71.2,516.4,98.0,96.73,5.42
Li₆PS₅Cl,硫化物,14.9,6.2,912.1,纤维素基,44.0,40,326.0,0.5,200,0.04205,57.9,632.3,98.0,97.99,2.3
Li₃PS₄,硫化物,30.0,13.4,587.2,尼龙6,36.1,30,272.1,0.05,300,0.14401,66.8,639.9,96.6,97.35,2.71
Li₂ZrCl₆,卤化物,56.6,14.2,428.3,PEO(聚环氧乙烷),46.4,25,373.7,0.2,500,0.41462,74.8,684.6,92.7,97.93,4.11
LAGP(Li₁.₅Al₀.₅Ge₁.₅(PO₄)₃),氧化物,23.4,18.7,405.5,PCL(聚己内酯),46.6,25,206.0,1.0,800,0.01294,80.9,487.9,91.2,97.29,4.98
LATP(Li₁.₃Al₀.₃Ti₁.₇(PO₄)₃),氧化物,50.5,25.5,387.4,尼龙6,31.0,45,482.8,0.5,800,0.25658,58.7,641.3,88.2,97.77,4.96
Li₁₀GeP₂S₁₂(LGPS),硫化物,23.1,7.0,917.9,PMMA(聚甲基丙烯酸甲酯),46.4,60,398.8,0.5,500,0.6601,50.9,848.1,92.3,96.62,2.49
Li₃YCl₆,卤化物,31.2,10.3,386.8,尼龙6,41.4,60,372.5,0.5,300,0.45423,40.2,819.5,94.4,98.89,4.12
Li₂ZrCl₆,卤化物,45.5,15.8,381.2,PVA(聚乙烯醇),21.5,55,444.8,0.1,500,0.5094,42.1,819.5,98.0,97.68,3.87
LATP/CNT复合,复合,27.9,141.9,55.2,PMMA(聚甲基丙烯酸甲酯),35.5,70,114.6,0.5,800,0.05636,44.2,801.2,85.2,95.03,4.52
Li₆PS₅Cl,硫化物,66.6,6.7,762.8,PVA(聚乙烯醇),33.5,50,352.9,0.05,50,2.99969,58.9,972.9,98.0,97.37,2.6
Li₃InCl₆,卤化物,40.8,6.3,583.3,尼龙6,32.3,45,456.4,0.2,50,0.67618,44.5,829.0,98.0,97.32,3.86
Li₆PS₅Cl,硫化物,53.4,6.6,884.4,PPC(聚碳酸亚丙酯),32.9,30,257.1,1.0,100,1.23894,63.1,648.6,95.7,97.27,2.25
LLZO-Ta,氧化物,10.8,14.6,602.2,尼龙6,19.7,50,253.8,0.2,200,0.00578,59.8,667.2,98.0,97.63,5.18
Na₃PS₄(参考),硫化物,26.7,14.4,569.5,PVDF,55.5,80,204.0,0.1,200,0.06067,39.6,1010.2,94.0,94.69,2.42
LLZO@GO复合,复合,29.1,181.0,53.6,PPC(聚碳酸亚丙酯),36.6,70,403.7,0.1,100,0.07567,21.5,953.1,98.0,96.96,4.53
Li₆PS₅Cl,硫化物,14.5,8.0,949.3,PVA(聚乙烯醇),38.0,40,60.9,0.2,50,0.03086,94.6,659.1,97.4,96.9,2.55
Li₇P₃S₁₁,硫化物,36.5,7.4,1085.6,PEG(聚乙二醇),31.4,70,296.2,1.0,100,1.61142,60.0,876.3,96.5,95.29,2.55
LLZO(Li₇La₃Zr₂O₁₂),氧化物,25.5,12.8,471.0,尼龙6,23.2,80,327.3,1.0,100,0.07135,46.5,902.6,98.0,96.63,4.78
LiPON,磷酸盐,74.5,43.7,97.5,PI(聚酰亚胺),40.7,60,123.8,0.2,200,0.00558,74.1,780.1,92.9,97.78,5.56
Na₃PS₄(参考),硫化物,53.0,14.5,506.2,PI(聚酰亚胺),34.3,50,499.5,0.2,50,0.31889,33.6,880.7,98.0,99.57,2.64
LAGP(Li₁.₅Al₀.₅Ge₁.₅(PO₄)₃),氧化物,47.7,20.5,357.3,PAN(聚丙烯腈),28.9,25,256.6,0.05,100,0.15169,62.8,653.5,98.0,98.14,4.98
Li₃InCl₆,卤化物,51.2,9.7,625.9,PVA(聚乙烯醇),39.0,30,314.3,0.2,100,0.6647,74.8,726.4,98.0,98.35,4.19
Li₂S-P₂S₅(75:25),硫化物,72.2,9.5,673.5,PMMA(聚甲基丙烯酸甲酯),39.1,70,325.5,1.0,100,3.24891,56.3,849.4,94.1,97.3,2.48
Li₆PS₅Cl,硫化物,41.1,9.9,672.5,纤维素基,54.5,70,105.3,0.2,100,2.23202,73.9,965.9,97.6,95.12,2.53
Li₉.₅₄Si₁.₇₄P₁.₄₄S₁₁.₇Cl₀.₃,硫化物,19.9,5.0,1147.4,PCL(聚己内酯),47.9,60,144.8,0.5,300,1.1354,82.9,827.3,91.6,96.21,2.24
LLZO@GO复合,复合,73.2,176.8,46.1,PPC(聚碳酸亚丙酯),40.3,60,177.5,1.0,200,0.8828,47.0,756.1,94.9,95.57,4.61
Li₂S-P₂S₅(75:25),硫化物,54.9,8.8,765.5,PEO(聚环氧乙烷),68.5,25,219.4,0.5,200,0.73164,82.0,694.9,95.9,97.41,2.64
LATP(Li₁.₃Al₀.₃Ti₁.₇(PO₄)₃),氧化物,19.3,21.4,353.2,纤维素基,50.2,80,385.7,0.1,200,0.03445,49.0,923.6,98.0,97.49,4.56
Li₃ScCl₆,卤化物,60.1,12.2,617.5,PI(聚酰亚胺),26.1,60,468.9,0.5,100,4.51232,45.7,935.5,98.0,97.6,4.19
LLTO(Li₃xLa₂/₃-xTiO₃),氧化物,74.0,10.5,572.6,纤维素基,40.2,50,179.3,1.0,500,1.55231,118.4,797.2,87.6,97.53,4.77
Li₁.₄Al₀.₄Ti₁.₆(PO₄)₃,氧化物,18.6,17.8,380.2,PAN(聚丙烯腈),29.9,40,424.0,0.1,50,0.00699,40.3,602.1,98.0,97.78,5.14
LISICON(Li₂+2xZn₁-xGeO₄),磷酸盐,20.1,20.5,248.8,尼龙6,31.9,60,276.3,0.2,100,0.00732,40.3,687.6,98.0,96.82,5.06
LISICON(Li₂+2xZn₁-xGeO₄),磷酸盐,14.5,24.3,251.5,PI(聚酰亚胺),28.4,30,407.7,0.2,200,0.00091,41.3,456.3,98.0,98.76,5.78
Na₃PS₄(参考),硫化物,36.9,13.8,414.1,PPC(聚碳酸亚丙酯),46.3,55,282.7,0.5,500,0.25705,38.6,790.3,89.8,96.38,2.55
LLZO(Li₇La₃Zr₂O₁₂),氧化物,64.9,21.3,583.9,PCL(聚己内酯),56.5,55,188.9,0.5,100,0.48296,92.0,745.4,98.0,96.81,4.96
Li₂S-P₂S₅(75:25),硫化物,57.2,8.3,478.7,PAN(聚丙烯腈),23.5,60,103.9,0.5,500,2.38997,65.8,844.3,83.7,96.25,2.46
Li₃InCl₆,卤化物,45.8,7.4,474.3,PVDF-HFP,12.1,25,66.9,0.5,100,0.43494,99.4,646.7,94.4,97.52,4.04
LATP/CNT复合,复合,73.3,135.1,57.6,PAN(聚丙烯腈),31.5,40,230.5,0.2,100,0.38819,63.4,811.3,98.0,97.65,4.4
Li₃YCl₆,卤化物,30.7,14.5,449.1,尼龙6,36.4,60,55.0,0.2,100,0.42632,84.5,795.6,92.8,96.1,3.65
Li₃PS₄,硫化物,17.4,13.3,673.8,PVDF-HFP,23.6,60,353.3,0.2,500,0.02312,32.6,730.1,91.9,98.2,2.34
LiBH₄,硼氢化物,15.0,21.6,229.3,纤维素基,47.7,50,122.7,0.05,100,0.0177,56.0,757.9,97.4,96.07,3.02
Li₃InCl₆,卤化物,57.3,7.9,561.5,PEG(聚乙二醇),34.7,45,344.9,0.2,100,1.47158,66.2,658.2,90.7,97.67,3.7
Li₃YCl₆,卤化物,75.8,12.9,508.6,PEG(聚乙二醇),24.0,25,462.4,0.2,200,0.79304,67.4,642.5,98.0,98.18,4.2
LLZO/PVDF纳米纤维,复合,20.6,108.2,86.6,PCL(聚己内酯),61.5,60,215.4,0.1,800,0.02374,42.9,827.4,88.9,96.8,4.47
LLZO-Ta,氧化物,39.5,9.3,588.4,尼龙6,32.7,50,282.1,0.2,100,0.41294,76.0,775.6,98.0,97.52,5.06
LLZO(Li₇La₃Zr₂O₁₂),氧化物,38.9,12.6,502.9,PEG(聚乙二醇),34.5,50,346.0,0.1,100,0.2214,63.0,757.7,98.0,98.21,4.76
Li₁.₄Al₀.₄Ti₁.₆(PO₄)₃,氧化物,21.6,21.5,306.0,尼龙6,54.0,50,141.2,0.5,100,0.01253,56.1,651.0,98.0,97.4,4.67
LLZO-Ta,氧化物,10.3,6.6,493.9,PEO(聚环氧乙烷),59.4,40,419.3,0.2,200,0.0197,59.9,691.7,97.0,98.42,4.77
Li₃ScCl₆,卤化物,22.5,7.7,492.0,PAN(聚丙烯腈),42.0,25,367.7,0.1,200,0.07893,59.8,592.6,98.0,97.37,3.92
LiPON,磷酸盐,49.8,41.2,82.2,PMMA(聚甲基丙烯酸甲酯),49.7,70,207.6,0.5,50,0.00399,48.8,772.2,98.0,95.39,5.12
LISICON(Li₂+2xZn₁-xGeO₄),磷酸盐,54.3,25.5,204.9,PPC(聚碳酸亚丙酯),39.3,60,157.6,0.1,500,0.15911,70.5,808.7,95.1,96.68,5.56
LAGP(Li₁.₅Al₀.₅Ge₁.₅(PO₄)₃),氧化物,62.8,15.4,335.0,PVA(聚乙烯醇),35.1,60,476.9,0.2,100,0.53351,46.8,897.7,98.0,97.45,5.26
LLZO/PVDF纳米纤维,复合,79.7,104.9,107.9,PEG(聚乙二醇),27.9,30,443.8,1.0,500,0.2076,58.7,614.3,94.8,97.79,4.53
Li₉.₅₄Si₁.₇₄P₁.₄₄S₁₁.₇Cl₀.₃,硫化物,21.3,5.6,972.0,PVDF,46.8,40,496.0,0.5,800,0.81252,38.1,786.3,82.4,97.39,2.54
LLTO(Li₃xLa₂/₃-xTiO₃),氧化物,14.0,13.3,824.8,PAN(聚丙烯腈),31.3,25,472.3,0.2,200,0.00731,68.2,569.0,98.0,97.2,4.91
LLZO-Nb,氧化物,51.2,9.6,443.7,PVDF,42.5,50,494.7,0.2,800,0.47149,58.8,734.4,97.4,98.14,4.92
Li₁₀GeP₂S₁₂(LGPS),硫化物,47.1,6.0,777.2,PVDF-HFP,43.0,30,84.5,0.2,200,3.62517,117.4,736.0,87.0,96.44,2.36
Li₇P₃S₁₁,硫化物,42.1,6.2,687.3,PMMA(聚甲基丙烯酸甲酯),45.4,60,466.5,0.2,200,1.39166,38.9,852.5,97.0,97.55,2.61
Li₂ZrCl₆,卤化物,50.1,19.8,388.2,PPC(聚碳酸亚丙酯),52.8,55,318.1,0.1,100,0.59528,40.1,911.8,98.0,97.75,4.23
Na₃PS₄(参考),硫化物,51.6,14.4,624.6,PPC(聚碳酸亚丙酯),43.2,80,489.8,0.5,200,0.63864,31.9,919.4,97.0,96.27,2.74
Li₆PS₅Br,硫化物,51.2,7.5,582.7,PVDF-HFP,35.8,25,195.4,0.1,50,0.82475,75.9,745.0,96.1,98.63,2.47
LLZO/PVDF纳米纤维,复合,67.6,64.2,100.3,PVDF,48.4,30,392.2,0.1,100,0.11064,51.2,674.9,98.0,97.96,4.49
LATP(Li₁.₃Al₀.₃Ti₁.₇(PO₄)₃),氧化物,37.3,24.7,369.0,PEG(聚乙二醇),35.9,25,209.8,0.2,200,0.0703,97.9,593.4,98.0,97.4,5.1
Li₃PS₄,硫化物,19.2,11.7,566.1,PCL(聚己内酯),56.3,50,283.2,0.05,200,0.02985,43.1,783.9,92.2,96.54,2.24
Li₆PS₅Br,硫化物,78.0,11.3,823.4,PEO(聚环氧乙烷),66.1,55,401.7,0.05,300,3.28163,54.8,995.2,93.5,97.58,2.7
LiPON,磷酸盐,13.4,44.2,101.2,PVDF-HFP,38.3,60,421.7,0.1,50,0.00246,29.2,808.6,98.0,96.91,5.51
Li₃PO₄,磷酸盐,53.9,41.7,159.0,PMMA(聚甲基丙烯酸甲酯),58.2,55,484.0,0.1,200,0.00742,42.2,844.6,98.0,98.71,5.45
Na₃PS₄(参考),硫化物,53.8,15.6,642.9,PEO(聚环氧乙烷),56.3,25,191.3,0.1,800,0.19028,86.4,681.3,85.0,96.84,2.51
Li₂S-P₂S₅(75:25),硫化物,26.1,11.6,671.0,纤维素基,40.1,60,58.8,0.1,500,0.1731,78.1,932.3,92.2,95.78,2.21
Li₃InCl₆,卤化物,62.0,10.9,528.1,PEO(聚环氧乙烷),47.8,60,405.5,0.5,200,1.71131,60.6,798.4,96.4,96.92,4.13
LISICON(Li₂+2xZn₁-xGeO₄),磷酸盐,53.9,19.8,261.7,PVA(聚乙烯醇),22.3,50,135.4,0.2,200,0.10005,78.3,761.2,98.0,96.72,5.74
Li₁.₄Al₀.₄Ti₁.₆(PO₄)₃,氧化物,67.0,23.1,261.1,PEO(聚环氧乙烷),67.1,50,493.5,0.5,100,0.38476,61.6,720.6,98.0,98.06,5.15
Li₆PS₅Cl,硫化物,52.2,6.4,494.9,尼龙6,38.5,30,355.7,0.1,100,1.57699,57.3,743.4,98.0,98.22,2.63
LLZO-Nb,氧化物,58.2,12.9,416.6,PEG(聚乙二醇),31.1,55,75.0,1.0,100,0.63721,111.7,665.6,97.5,97.77,4.94
Li₂S-P₂S₅(75:25),硫化物,46.5,8.8,948.0,PI(聚酰亚胺),29.8,30,157.1,0.2,200,0.76802,90.4,660.3,91.5,96.26,2.75
LLZO-Nb,氧化物,75.1,17.9,386.2,PI(聚酰亚胺),25.4,30,157.7,0.5,200,0.48907,114.3,683.0,96.4,98.26,5.08
Li₃YCl₆,卤化物,17.4,8.9,459.9,PI(聚酰亚胺),31.0,60,214.4,0.2,50,0.03617,47.5,753.2,98.0,97.64,4.09
Li₃InCl₆,卤化物,63.3,13.7,456.6,PI(聚酰亚胺),26.6,30,349.3,0.1,300,0.93768,73.6,653.1,98.0,97.1,4.26
Li₃PS₄,硫化物,20.4,11.1,427.7,PEG(聚乙二醇),24.1,40,485.3,0.2,800,0.03787,35.5,684.7,84.0,97.64,2.29
LLZO(Li₇La₃Zr₂O₁₂),氧化物,30.9,18.3,442.8,PEG(聚乙二醇),23.4,25,132.8,0.1,200,0.06707,113.6,625.7,95.6,96.7,5.05
Li₃PS₄,硫化物,22.3,8.1,535.5,PCL(聚己内酯),51.2,60,227.4,0.2,100,0.04759,37.5,803.6,98.0,96.66,2.32
LATP(Li₁.₃Al₀.₃Ti₁.₇(PO₄)₃),氧化物,45.3,15.4,319.5,PCL(聚己内酯),56.4,55,266.6,0.1,300,0.22331,75.8,887.2,92.2,96.69,5.15
Li₃YCl₆,卤化物,26.3,13.3,445.4,PEG(聚乙二醇),41.9,70,68.8,0.05,800,0.17528,57.9,958.2,82.0,96.88,3.87
LLZO-Ta,氧化物,34.9,14.2,395.7,PCL(聚己内酯),53.7,80,337.2,0.1,800,0.84812,41.6,984.8,94.1,97.2,4.9
LATP(Li₁.₃Al₀.₃Ti₁.₇(PO₄)₃),氧化物,23.1,18.9,357.8,PAN(聚丙烯腈),40.2,40,73.8,0.2,50,0.01492,90.5,617.8,98.0,97.64,4.98
LATP(Li₁.₃Al₀.₃Ti₁.₇(PO₄)₃),氧化物,11.1,13.2,420.0,PVA(聚乙烯醇),38.7,40,157.2,0.5,200,0.00223,62.5,516.6,96.8,97.63,5.05
Li₂B₁₂H₁₂,硼氢化物,79.6,21.9,253.2,PEO(聚环氧乙烷),54.2,80,396.4,0.2,100,1.58993,37.8,1081.7,94.3,96.21,3.19
LLZO(Li₇La₃Zr₂O₁₂),氧化物,45.9,16.2,530.5,PVDF,54.1,45,492.4,0.05,200,0.18112,53.3,797.5,98.0,98.12,5.17
LLTO(Li₃xLa₂/₃-xTiO₃),氧化物,20.5,8.8,586.0,PMMA(聚甲基丙烯酸甲酯),53.4,50,371.4,0.1,200,0.04892,44.7,783.2,98.0,97.57,4.61
Li₂S-P₂S₅(75:25),硫化物,21.4,10.0,843.9,PEO(聚环氧乙烷),46.0,60,313.9,0.5,200,0.13363,49.6,760.2,90.2,96.36,2.92
Li₃PS₄,硫化物,36.7,12.9,589.6,PAN(聚丙烯腈),32.2,25,236.3,0.05,50,0.19283,56.0,703.2,98.0,96.5,2.33
LLZO-Ta,氧化物,38.8,13.7,488.7,PVA(聚乙烯醇),32.9,80,64.2,0.1,200,0.88009,87.0,1077.3,91.7,95.14,4.92
LLTO(Li₃xLa₂/₃-xTiO₃),氧化物,34.2,6.7,693.8,PMMA(聚甲基丙烯酸甲酯),48.2,55,386.8,1.0,100,0.50903,50.3,809.5,98.0,97.5,5.07
Na₃PS₄(参考),硫化物,58.1,17.9,476.3,PCL(聚己内酯),49.7,30,321.4,0.1,200,0.26635,55.0,724.1,94.4,96.9,2.31
LLZO-Ta,氧化物,55.6,12.0,438.3,PVDF,42.0,55,283.3,0.5,500,0.54354,82.6,803.3,98.0,98.04,5.18
Li₃YCl₆,卤化物,35.7,19.2,361.5,PAN(聚丙烯腈),44.0,80,326.9,1.0,100,0.85891,36.2,895.8,96.1,96.08,3.72
LLTO(Li₃xLa₂/₃-xTiO₃),氧化物,39.6,6.1,525.8,尼龙6,34.2,50,384.2,0.05,800,0.55352,53.4,909.0,82.7,99.22,5.14
Li₁₀GeP₂S₁₂(LGPS),硫化物,42.1,6.6,968.6,尼龙6,35.9,30,189.5,1.0,300,3.92241,79.1,668.8,90.4,97.81,2.61
LiPON,磷酸盐,27.7,29.7,94.7,PAN(聚丙烯腈),51.6,40,193.8,0.1,200,0.00203,52.4,553.8,95.0,97.42,5.6
Li₃ScCl₆,卤化物,72.6,9.8,653.4,纤维素基,55.6,40,64.1,0.2,500,2.87999,128.1,874.5,89.9,96.39,4.1
Li₃YCl₆,卤化物,78.6,17.8,446.0,PVDF-HFP,32.3,55,241.0,0.5,500,1.61246,58.5,722.2,91.3,96.82,3.82
Li₇P₃S₁₁,硫化物,42.3,10.9,876.2,PEO(聚环氧乙烷),47.8,70,184.1,0.2,500,2.14828,51.8,934.0,89.7,95.74,2.31
LATP(Li₁.₃Al₀.₃Ti₁.₇(PO₄)₃),氧化物,32.3,15.7,422.9,PEG(聚乙二醇),45.4,30,109.4,0.05,500,0.06775,93.2,669.8,88.3,97.53,4.73
Li₉.₅₄Si₁.₇₄P₁.₄₄S₁₁.₇Cl₀.₃,硫化物,25.5,4.3,795.2,PVDF,43.3,25,490.7,0.1,100,0.90626,45.6,639.6,98.0,97.66,2.16
Li₂S-P₂S₅(75:25),硫化物,12.9,12.5,638.8,PEG(聚乙二醇),41.0,30,488.7,1.0,200,0.02476,42.7,525.3,93.6,97.65,2.66
Li₂S-P₂S₅(75:25),硫化物,67.0,7.7,702.1,PEG(聚乙二醇),28.4,40,392.6,0.2,300,1.48941,61.8,737.7,93.3,96.82,2.32
Li₃InCl₆,卤化物,31.1,10.6,569.0,PEO(聚环氧乙烷),56.6,60,258.6,0.05,100,0.66786,57.9,1045.3,96.3,97.15,4.04
Li₂S-P₂S₅(75:25),硫化物,17.5,11.7,745.7,PAN(聚丙烯腈),35.4,30,254.2,0.5,200,0.03325,55.9,555.7,97.8,96.42,2.61
Li₃PS₄,硫化物,41.8,13.3,592.8,PMMA(聚甲基丙烯酸甲酯),48.5,70,211.3,0.1,200,0.55496,50.7,1057.1,94.8,96.02,2.6
Li₆PS₅Br,硫化物,30.1,5.9,886.7,PCL(聚己内酯),41.4,55,387.0,0.05,200,0.84734,49.3,982.1,96.5,96.93,2.47
Li₃PS₄,硫化物,76.4,10.8,502.4,PI(聚酰亚胺),14.2,60,305.7,1.0,50,0.996,50.7,780.2,98.0,96.61,2.67
LLZO-Nb,氧化物,25.1,13.2,374.1,尼龙6,17.4,25,148.1,0.5,300,0.0161,83.0,523.8,98.0,96.61,4.79
Li₂ZrCl₆,卤化物,76.7,14.2,442.2,PVDF,56.5,30,176.9,0.1,200,0.56515,113.6,724.2,93.2,96.81,3.81
LATP/CNT复合,复合,73.8,180.1,76.4,PI(聚酰亚胺),16.3,80,95.3,0.1,100,1.13974,65.0,1099.9,93.0,94.65,4.79
LLZO-Nb,氧化物,13.1,9.2,434.9,纤维素基,43.1,25,348.8,1.0,300,0.00254,48.2,401.4,98.0,97.38,4.99
LAGP(Li₁.₅Al₀.₅Ge₁.₅(PO₄)₃),氧化物,58.1,10.9,431.2,PAN(聚丙烯腈),34.2,25,433.0,0.5,500,0.19344,70.5,563.4,98.0,98.03,4.97
Li₂ZrCl₆,卤化物,66.2,17.8,437.0,PEG(聚乙二醇),41.9,50,390.4,0.1,100,0.94059,51.6,989.0,98.0,97.46,3.89
Li₃YCl₆,卤化物,61.9,13.2,457.1,纤维素基,46.5,55,295.3,0.2,50,1.2486,61.4,776.5,98.0,95.43,3.78
Li₃InCl₆,卤化物,61.5,11.8,530.9,PAN(聚丙烯腈),33.1,40,242.8,0.05,50,1.25308,66.5,906.9,98.0,97.53,3.68
LATP(Li₁.₃Al₀.₃Ti₁.₇(PO₄)₃),氧化物,65.8,18.1,447.7,PMMA(聚甲基丙烯酸甲酯),44.1,80,305.1,0.1,100,0.77616,53.0,966.4,98.0,95.8,5.03
LLZO/PVDF纳米纤维,复合,77.3,91.0,106.9,尼龙6,33.4,25,301.8,0.2,500,0.12573,67.4,623.4,89.2,98.35,4.94
Li₁.₄Al₀.₄Ti₁.₆(PO₄)₃,氧化物,46.2,12.8,235.5,纤维素基,24.4,60,327.0,0.05,800,0.22405,55.7,987.2,88.6,97.05,4.92
LLZO@GO复合,复合,39.4,228.5,34.7,PMMA(聚甲基丙烯酸甲酯),46.9,30,487.3,1.0,300,0.12084,35.4,625.0,98.0,98.83,4.46
LLZO-Nb,氧化物,44.4,12.7,567.2,PCL(聚己内酯),57.1,25,247.4,0.1,100,0.17001,71.1,591.6,98.0,97.73,4.86
Li₆PS₅Br,硫化物,69.9,11.2,832.2,PCL(聚己内酯),60.2,40,95.7,0.5,300,1.53438,125.3,685.5,95.7,96.21,2.53
LLZO(Li₇La₃Zr₂O₁₂),氧化物,12.7,16.1,596.3,PVDF-HFP,32.5,30,464.2,0.5,50,0.00339,56.5,435.5,98.0,98.7,5.16
Li₇P₃S₁₁,硫化物,30.8,11.7,720.2,PVA(聚乙烯醇),39.4,40,158.1,0.05,200,0.61435,74.3,843.7,97.3,96.99,2.51
LLZO/PVDF纳米纤维,复合,54.2,62.7,117.8,PMMA(聚甲基丙烯酸甲酯),43.4,25,225.6,0.2,300,0.08411,64.5,610.5,96.0,97.79,4.56
Li₃PS₄,硫化物,70.8,12.5,631.4,PVDF,27.9,80,464.2,0.1,200,1.48853,35.2,982.6,95.3,96.32,2.23
LATP/CNT复合,复合,31.9,159.3,69.5,PVA(聚乙烯醇),28.0,60,387.1,0.2,50,0.22866,33.6,855.1,98.0,97.57,4.49
Li₁₀GeP₂S₁₂(LGPS),硫化物,12.0,7.6,794.8,PVDF-HFP,31.7,30,458.2,0.5,300,0.05391,38.0,549.8,97.9,97.37,2.57
Li₁.₄Al₀.₄Ti₁.₆(PO₄)₃,氧化物,10.3,24.5,335.9,尼龙6,35.6,45,309.5,0.5,200,0.00173,47.9,578.9,98.0,97.06,5.17
Li₂ZrCl₆,卤化物,45.7,12.3,367.1,PEO(聚环氧乙烷),47.8,55,392.5,0.05,100,0.5397,45.8,961.4,98.0,98.1,3.86
Li₇P₃S₁₁,硫化物,69.1,6.7,858.4,PVDF-HFP,29.7,55,361.7,0.2,100,3.04531,55.8,910.3,98.0,97.77,2.62
LATP(Li₁.₃Al₀.₃Ti₁.₇(PO₄)₃),氧化物,60.1,17.9,417.7,PAN(聚丙烯腈),29.2,80,55.6,0.05,100,0.83245,96.1,1121.2,93.2,97.07,4.89
LLZO(Li₇La₃Zr₂O₁₂),氧化物,51.8,16.2,622.7,尼龙6,34.8,70,62.6,0.05,100,0.48952,106.2,1018.5,93.8,95.51,5.02
LLZO/PVDF纳米纤维,复合,67.5,80.9,110.0,PVDF,25.1,25,95.3,0.2,800,0.10574,96.0,615.6,81.5,97.18,4.85
LLZO-Ta,氧化物,37.3,13.8,530.6,PCL(聚己内酯),56.8,40,258.6,0.2,800,0.25026,91.6,757.0,90.6,98.25,5.08
Li₂S-P₂S₅(75:25),硫化物,65.2,12.2,524.9,PVDF,46.8,25,469.9,0.05,500,0.98965,59.1,750.6,96.0,97.68,2.38
Li₁₀GeP₂S₁₂(LGPS),硫化物,37.1,7.8,893.3,尼龙6,22.7,25,338.3,0.2,500,2.27566,69.6,635.9,84.2,96.75,2.51
Li₃ScCl₆,卤化物,25.4,10.7,526.4,PAN(聚丙烯腈),20.2,45,152.6,0.2,200,0.18384,66.5,667.6,98.0,97.74,3.83
LLZO(Li₇La₃Zr₂O₁₂),氧化物,25.3,14.6,432.9,纤维素基,67.5,25,140.1,1.0,100,0.00841,96.7,479.6,96.0,97.53,5.18
Li₃PS₄,硫化物,30.1,9.6,638.3,尼龙6,41.5,30,194.8,1.0,200,0.15056,64.6,536.6,96.9,96.89,2.94
LLZO@GO复合,复合,57.1,216.0,41.3,PMMA(聚甲基丙烯酸甲酯),45.4,50,101.3,0.5,500,0.54262,57.8,735.6,89.1,97.26,4.37
